Prefixo,Nexthop,as-path,Origem Prefixo
103.218.216.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['134543', '63655'])"
121.127.249.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
202.113.0.0/16,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['24352', '4538'])"
24.112.111.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
134.119.167.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
185.222.66.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['200081', '201492'])"
203.21.195.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['9942', '1221'])"
170.146.145.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['14299', '65055'])"
2001:500:d937::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['396545', '396555', '396566', '396558', '19836', '397195'])"
167.140.240.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['32787', '64706'])"
181.215.53.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['49999', '834'])"
31.131.86.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['42498', '56889'])"
2607:fb10:5063::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55095', '2906'])"
180.76.8.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55967', '38627'])"
66.146.95.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['11123', '11841'])"
46.8.178.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
219.232.124.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '4847'])"
2405:1c0:6711::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
211.99.103.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['134763', '134543'])"
223.26.60.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
72.42.251.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['21918', '395869'])"
177.249.26.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['16960', '64712'])"
123.103.13.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
::/0,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['12956', '2914', '28186', '23106', '266602', '10429', '174', '1299', '3356'])"
218.245.64.0/19,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
103.184.132.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['6315', '400171'])"
2400:4c80:1001::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['7632', '55794'])"
50.226.102.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['63402', '33661'])"
184.174.107.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['54103', '39855'])"
2610:a1:1009::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397223', '397228', '397241', '397215'])"
204.17.143.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['203', '54626'])"
23.27.5.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['40676', '396998'])"
103.251.15.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['133019', '24436'])"
92.60.170.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
2405:1c0:6514::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
103.100.74.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['206733', '137819'])"
201.217.200.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18747', '7087'])"
123.51.11.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['45510', '38333'])"
103.49.81.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137502', '43519'])"
103.14.97.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['396904', '58641'])"
2401:cf80:605a::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
208.90.173.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['27631', '53274'])"
2405:1c0:6341::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
150.242.238.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['17621', '4812'])"
192.109.184.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65111', '32787'])"
45.192.186.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
43.255.117.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64021', '137451'])"
202.4.8.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64513', '7306'])"
74.204.154.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
181.232.163.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65530', '272064'])"
46.28.67.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['15626', '3549'])"
177.70.88.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['28241', '28258'])"
2001:500:120::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['396554', '396555', '396542', '396549', '36630', '10515'])"
204.80.232.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['31775', '62727'])"
185.245.56.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['209014', '49321'])"
114.118.0.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
2607:fb10:5062::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55095', '2906'])"
2804:37e8::/32,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['262671', '28258'])"
43.254.44.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4811', '138421'])"
